,names
163,hare.n.01
164,percheron.n.01
165,brittany_spaniel.n.01
166,big_cat.n.01
167,little_chief_hare.n.01
168,pocket_rat.n.01
169,phyllostomus_hastatus.n.01
170,leafnose_bat.n.01
171,hominoid.n.01
172,blenheim_spaniel.n.01
173,english_toy_spaniel.n.01
174,eurasian_hamster.n.01
175,hamster.n.01
176,alpaca.n.03
177,llama.n.01
178,native_cat.n.01
179,dasyure.n.01
180,potto.n.02
181,lemur.n.01
182,thoroughbred.n.02
183,racehorse.n.01
184,mantled_ground_squirrel.n.01
185,ground_squirrel.n.02
186,cryptoprocta.n.01
187,bearded_seal.n.01
188,earless_seal.n.01
189,pole_horse.n.01
190,trotting_horse.n.01
191,moke.n.01
192,domestic_ass.n.01
193,tenrec.n.01
194,insectivore.n.01
195,buckskin.n.01
196,potoroo.n.01
197,rat_kangaroo.n.01
198,kangaroo.n.01
199,giant_eland.n.01
200,eland.n.01
201,coonhound.n.01
202,cotton_mouse.n.01
203,wood_mouse.n.01
204,valley_pocket_gopher.n.01
205,gopher.n.04
206,woodland_caribou.n.01
207,caribou.n.01
208,red_wolf.n.01
209,wire-haired_fox_terrier.n.01
210,fox_terrier.n.01
211,black_rhinoceros.n.01
212,rhinoceros.n.01
213,longtail_weasel.n.01
214,weasel.n.02
215,carnivorous_bat.n.01
216,bat.n.01
217,tibetan_mastiff.n.01
218,mastiff.n.01
219,patas.n.01
220,irish_water_spaniel.n.01
221,water_spaniel.n.01
222,japanese_spaniel.n.01
223,pooch.n.01
224,aegyptopithecus.n.01
225,american_black_bear.n.01
226,bear.n.01
227,musk_kangaroo.n.01
228,hinny.n.01
229,tortoiseshell.n.03
230,domestic_cat.n.01
231,cat.n.01
232,tibetan_terrier.n.01
233,pointer.n.04
234,pekinese.n.01
235,chesapeake_bay_retriever.n.01
236,egyptian_cat.n.01
237,giant_schnauzer.n.01
238,hack.n.06
239,welsh_terrier.n.01
240,wirehair.n.01
241,viscacha.n.01
242,kerry_blue_terrier.n.01
243,staghound.n.01
244,chickeree.n.01
245,cardigan.n.02
246,corgi.n.01
247,curly-coated_retriever.n.01
248,ibex.n.01
249,goral.n.01
250,hooded_seal.n.01
251,soft-coated_wheaten_terrier.n.01
252,african_hunting_dog.n.01
253,wild_dog.n.01
254,standard_poodle.n.01
255,poodle.n.01
256,eastern_lowland_gorilla.n.01
257,gorilla.n.01
258,striped_skunk.n.01
259,skunk.n.04
260,wild_boar.n.01
261,swine.n.01
262,chevrotain.n.01
263,gazella_subgutturosa.n.01
264,large_poodle.n.01
265,tiger_cat.n.01
266,wildcat.n.03
267,phalanger.n.01
268,springbok.n.01
269,atlantic_bottlenose_dolphin.n.01
270,bottlenose_dolphin.n.01
271,dolphin.n.02
272,clydesdale.n.01
273,samoyed.n.03
274,spitz.n.01
275,manx.n.02
276,bottle-nosed_whale.n.01
277,beaked_whale.n.01
278,stirk.n.01
279,longwool.n.01
280,sheep.n.01
281,gallant_fox.n.01
282,barbary_ape.n.01
283,macaque.n.01
284,siamang.n.01
285,lesser_ape.n.01
286,scottish_deerhound.n.01
287,burro.n.01
288,atlantic_walrus.n.01
289,walrus.n.01
290,borzoi.n.01
291,morgan.n.06
292,bloodhound.n.01
293,pilot_whale.n.01
294,american_staffordshire_terrier.n.01
295,bullterrier.n.01
296,appaloosa.n.01
297,silky_tamarin.n.01
298,tamarin.n.01
299,secretariat.n.02
300,camel.n.01
301,crowbait.n.01
302,brown_hyena.n.01
303,hyena.n.01
304,finback.n.01
305,rorqual.n.01
306,bowhead.n.01
307,weimaraner.n.01
308,nanny.n.02
309,eastern_chipmunk.n.01
310,rock_squirrel.n.01
311,charolais.n.01
312,beef.n.01
313,sea_cow.n.01
314,pomeranian.n.01
315,spotted_skunk.n.01
316,blue_point_siamese.n.01
317,siamese_cat.n.01
318,bay.n.07
319,stalking-horse.n.04
320,lakeland_terrier.n.01
321,razorback.n.01
322,mule.n.01
323,bison.n.01
324,brown_rat.n.01
325,bongo.n.02
326,angora.n.03
327,otter_shrew.n.01
328,mylodon.n.01
329,smooth-haired_fox_terrier.n.01
330,siberian_husky.n.01
331,sled_dog.n.01
332,horseshoe_bat.n.01
333,entellus.n.01
334,langur.n.01
335,true_marmoset.n.01
336,marmoset.n.01
337,carabao.n.01
338,water_buffalo.n.01
339,agouti.n.01
340,basenji.n.01
341,otterhound.n.01
342,tabby.n.02
343,cur.n.01
344,war_admiral.n.01
345,echidna.n.02
346,monotreme.n.01
347,great_dane.n.01
348,working_dog.n.01
349,red_fox.n.03
350,fox.n.01
351,mountain_beaver.n.01
352,macrotus.n.01
353,coati.n.01
354,sassaby.n.01
355,white-footed_mouse.n.01
356,mouse.n.01
357,durham.n.02
358,courser.n.03
359,sausage_dog.n.01
360,dachshund.n.01
361,american_badger.n.01
362,banded_palm_civet.n.01
363,gerenuk.n.01
364,jackrabbit.n.01
365,brocket.n.02
366,red_deer.n.01
367,bull_mastiff.n.01
368,new_world_least_weasel.n.01
369,forest_goat.n.01
370,elephant_seal.n.01
371,mudder.n.01
372,gordon_setter.n.01
373,setter.n.02
374,wisent.n.01
375,numbat.n.01
376,dasyurid_marsupial.n.01
377,yearling.n.02
378,megatherian.n.01
379,angora.n.02
380,domestic_goat.n.01
381,squirrel_monkey.n.01
382,american_flying_squirrel.n.01
383,water_chevrotain.n.01
384,hearing_dog.n.01
385,dusky-footed_wood_rat.n.01
386,wood_rat.n.01
387,caracal.n.01
388,lynx.n.02
389,arabian_camel.n.01
390,eastern_chimpanzee.n.01
391,american_saddle_horse.n.01
392,tayra.n.01
393,vervet.n.01
394,black_sheep.n.02
395,indian_elephant.n.01
396,elephant.n.01
397,banteng.n.01
398,ox.n.02
399,american_bison.n.01
400,crab-eating_raccoon.n.01
401,raccoon.n.02
402,blackbuck.n.01
403,jungle_cat.n.01
404,staffordshire_bullterrier.n.01
405,grasshopper_mouse.n.01
406,vole.n.01
407,hominid.n.01
408,rat_terrier.n.01
409,french_bulldog.n.01
410,bulldog.n.01
411,lhasa.n.02
412,keeshond.n.01
413,asian_wild_ox.n.01
414,aardvark.n.01
415,western_lowland_gorilla.n.01
416,vampire_bat.n.01
417,chacma.n.01
418,bovine.n.01
419,impala.n.01
420,kinkajou.n.01
421,loir.n.01
422,dormouse.n.01
423,kitty.n.04
424,clumber.n.01
425,lechwe.n.01
426,waterbuck.n.01
427,palm_cat.n.01
428,grey_whale.n.01
429,yak.n.02
430,scotch_terrier.n.01
431,meerkat.n.01
432,water_shrew.n.01
433,shrew.n.02
434,shire.n.02
435,hind.n.02
436,hampshire.n.02
437,lippizan.n.01
438,sambar.n.01
439,dandie_dinmont.n.01
440,jerboa_rat.n.01
441,omaha.n.04
442,hart.n.03
443,wild_ass.n.01
444,crab-eating_macaque.n.01
445,baronduki.n.01
446,redbone.n.01
447,tom.n.02
448,steenbok.n.01
449,thylacine.n.01
450,bedlington_terrier.n.01
451,house_mouse.n.01
452,australopithecus_robustus.n.01
453,guide_dog.n.01
454,ayrshire.n.01
455,common_raccoon.n.01
456,beagle.n.01
457,plantigrade_mammal.n.01
458,king_charles_spaniel.n.01
459,toy_spaniel.n.01
460,raccoon_dog.n.01
461,zinjanthropus.n.01
462,red_squirrel.n.02
463,rock_wallaby.n.01
464,wallaby.n.01
465,walker_hound.n.01
466,saint_bernard.n.01
467,clydesdale_terrier.n.01
468,skye_terrier.n.01
469,red_fox.n.02
470,maltese.n.03
471,ichneumon.n.01
472,mongoose.n.01
473,rambouillet.n.01
474,sussex_spaniel.n.01
475,pouched_mole.n.01
476,japanese_deer.n.01
477,roe_deer.n.01
478,boston_bull.n.01
479,protohippus.n.01
480,markhor.n.01
481,shetland_sheepdog.n.01
482,shepherd_dog.n.01
483,vizsla.n.01
484,merino.n.01
485,liver-spotted_dalmatian.n.01
486,dalmatian.n.02
487,three-toed_sloth.n.01
488,sloth.n.02
489,roebuck.n.01
490,suslik.n.01
491,heifer.n.01
492,cow.n.01
493,wether.n.01
494,koala.n.01
495,marco_polo_sheep.n.01
496,nonstarter.n.02
497,right_whale.n.01
498,fossorial_mammal.n.01
499,california_sea_lion.n.01
500,indri.n.01
501,tarpan.n.01
502,grey.n.07
503,tatouay.n.01
504,kangaroo_mouse.n.02
505,cairn.n.02
506,bellwether.n.02
507,pronghorn.n.01
508,pademelon.n.01
509,african_wild_ass.n.01
510,saki.n.03
511,african_elephant.n.01
512,blue_whale.n.01
513,anteater.n.02
514,jerboa.n.01
515,margay.n.01
516,field_spaniel.n.01
517,vespertilian_bat.n.01
518,irish_terrier.n.01
519,killer_whale.n.01
520,anoa.n.01
521,old_world_buffalo.n.01
522,lioness.n.01
523,lion.n.01
524,miniature_schnauzer.n.01
525,black-tailed_deer.n.01
526,mule_deer.n.01
527,pithecanthropus.n.01
528,sinanthropus.n.01
529,shetland_pony.n.01
530,pony.n.05
531,water_rat.n.03
532,cattalo.n.01
533,mole_rat.n.01
534,plow_horse.n.01
535,milking_shorthorn.n.01
536,leopard_cat.n.01
537,red-backed_mouse.n.01
538,cow_pony.n.01
539,farm_horse.n.01
540,bassarisk.n.01
541,black_squirrel.n.01
542,timber_wolf.n.01
543,spouter.n.03
544,bird_dog.n.01
545,green_monkey.n.01
546,jennet.n.01
547,pangolin.n.01
548,peking_man.n.01
549,homo_erectus.n.01
550,dryopithecine.n.01
551,eurasian_otter.n.01
552,imperial_mammoth.n.01
553,mammoth.n.01
554,nyala.n.02
555,harnessed_antelope.n.01
556,frosted_bat.n.01
557,java_man.n.01
558,serval.n.01
559,polo_pony.n.01
560,hartebeest.n.01
561,tree_wallaby.n.01
562,galloway.n.02
563,common_zebra.n.01
564,zebra.n.01
565,gelding.n.01
566,male_horse.n.01
567,pteropus_capestratus.n.01
568,fruit_bat.n.01
569,sei_whale.n.01
570,eskimo_dog.n.01
571,warthog.n.01
572,genet.n.03
573,capuchin.n.02
574,river_dolphin.n.01
575,lucy.n.01
576,australopithecus_afarensis.n.01
577,cashmere_goat.n.01
578,belgian_sheepdog.n.01
579,common_opossum.n.01
580,opossum.n.02
581,canada_lynx.n.01
582,eastern_pipistrel.n.01
583,jackal.n.01
584,greater_swiss_mountain_dog.n.01
585,afghan_hound.n.01
586,homo_sapiens.n.01
587,homo.n.02
588,kuvasz.n.01
589,pacific_walrus.n.01
590,jaculus_jaculus.n.01
591,bobcat.n.01
592,count_fleet.n.01
593,fossa.n.03
594,africander.n.01
595,norwegian_elkhound.n.01
596,cob.n.02
597,harness_horse.n.01
598,gibbon.n.02
599,belgian_hare.n.01
600,gaur.n.01
601,seizure-alert_dog.n.01
602,mountain_gorilla.n.01
603,giant_kangaroo.n.01
604,wolverine.n.03
605,brahman.n.04
606,pinche.n.01
607,puppy.n.01
608,jersey.n.05
609,aardwolf.n.01
610,tabby.n.01
611,kiang.n.01
612,tamarau.n.01
613,least_shrew.n.01
614,woolly_mammoth.n.01
615,australopithecus_boisei.n.01
616,arctic_ground_squirrel.n.01
617,steller_sea_lion.n.01
618,tiger_cat.n.02
619,bernese_mountain_dog.n.01
620,fawn.n.02
621,stoat.n.01
622,ermine.n.02
623,red_poll.n.01
624,pariah_dog.n.01
625,border_terrier.n.01
626,malamute.n.01
627,eastern_woodrat.n.01
628,indian_mongoose.n.01
629,grade.n.09
630,water_dog.n.02
631,jerboa_kangaroo.n.01
632,prancer.n.01
633,cinnamon_bear.n.01
634,american_water_spaniel.n.01
635,rhodesian_ridgeback.n.01
636,gib.n.02
637,hog-nosed_skunk.n.01
638,spider_monkey.n.01
639,coydog.n.01
640,coyote.n.01
641,lesser_kudu.n.01
642,serow.n.01
643,kelpie.n.02
644,fisher.n.02
645,marten.n.01
646,smiledon_californicus.n.01
647,saber-toothed_tiger.n.01
648,aperea.n.01
649,cavy.n.01
650,bandicoot_rat.n.01
651,pygmy_sperm_whale.n.01
652,sealyham_terrier.n.01
653,solo_man.n.01
654,homo_soloensis.n.01
655,schipperke.n.01
656,shrew_mole.n.01
657,mole.n.06
658,aurochs.n.02
659,freetail.n.01
660,blacktail_prairie_dog.n.01
661,prairie_dog.n.01
662,pine_vole.n.01
663,argali.n.01
664,porpoise.n.01
665,ewe.n.03
666,brush-tailed_phalanger.n.01
667,platypus.n.01
668,prototherian.n.01
669,woolly_indris.n.01
670,rhesus.n.01
671,western_big-eared_bat.n.01
672,long-eared_bat.n.01
673,masked_shrew.n.01
674,german_shepherd.n.01
675,tamandua.n.01
676,feist.n.01
677,silverback.n.01
678,aoudad.n.01
679,guanaco.n.01
680,boarhound.n.01
681,bronco.n.01
682,mustang.n.01
683,urial.n.01
684,gayal.n.01
685,greater_pichiciego.n.01
686,white-lipped_peccary.n.01
687,galago.n.01
688,crabeater_seal.n.01
689,anthropoid.n.02
690,harrier.n.02
691,snowshoe_hare.n.01
692,white_wolf.n.01
693,saluki.n.01
694,hairy-legged_vampire_bat.n.01
695,grey_fox.n.01
696,mouflon.n.01
697,mountain_sheep.n.01
698,guernsey.n.02
699,bighorn.n.02
700,fallow_deer.n.01
701,new_world_mouse.n.01
702,prairie_vole.n.01
703,southern_bog_lemming.n.01
704,lemming.n.01
705,orange_bat.n.01
706,hoary_marmot.n.01
707,marmot.n.01
708,australian_sea_lion.n.01
709,hack.n.08
710,flying_fox.n.01
711,airedale.n.01
712,nilgai.n.01
713,ferret.n.02
714,polecat.n.02
715,sorrel.n.05
716,reynard.n.01
717,english_foxhound.n.01
718,duplicidentata.n.01
719,coondog.n.01
720,wombat.n.01
721,pygmy_mouse.n.01
722,west_highland_white_terrier.n.01
723,guadalupe_fur_seal.n.01
724,hog.n.03
725,welsh_springer_spaniel.n.01
726,flat-coated_retriever.n.01
727,ibizan_hound.n.01
728,bettong.n.01
729,simian.n.01
730,english_setter.n.01
731,hognose_bat.n.01
732,old_english_sheepdog.n.01
733,madagascar_cat.n.01
734,basset.n.01
735,rhodesian_man.n.01
736,barren_ground_caribou.n.01
737,german_short-haired_pointer.n.01
738,proboscis_monkey.n.01
739,pachyderm.n.01
740,pembroke.n.01
741,narwhal.n.01
742,javanthropus.n.01
743,panther.n.02
744,spotted_hyena.n.01
745,three-year-old_horse.n.01
746,gomphothere.n.01
747,blue_fox.n.01
748,arctic_fox.n.01
749,yellowbelly_marmot.n.01
750,murine.n.01
751,steed.n.01
752,warhorse.n.03
753,springer.n.02
754,eastern_cottontail.n.01
755,wood_rabbit.n.01
756,pug.n.01
757,dun.n.01
758,zebu.n.01
759,marsh_hare.n.01
760,giraffe.n.01
761,puku.n.01
762,pinto.n.01
763,chamois.n.02
764,cotton_rat.n.01
765,australian_terrier.n.01
766,black-footed_ferret.n.01
767,cougar.n.01
768,stallion.n.01
769,pacer.n.01
770,neandertal_man.n.01
771,attack_dog.n.01
772,silky_terrier.n.01
773,kanchil.n.01
774,common_shrew.n.01
775,fissiped_mammal.n.01
776,dik-dik.n.01
777,devon.n.02
778,toy_terrier.n.01
779,aye-aye.n.01
780,fissipedia.n.01
781,grampus.n.02
782,gnu.n.01
783,white_rhinoceros.n.01
784,sable.n.05
785,pacific_bottlenose_dolphin.n.01
786,affirmed.n.01
787,aberdeen_angus.n.01
788,cheviot.n.01
789,jackass_bat.n.01
790,common_eland.n.01
791,longhorn.n.01
792,plott_hound.n.01
793,northern_pocket_gopher.n.01
794,leonberg.n.01
795,pollard.n.02
796,dinoceras.n.01
797,dinocerate.n.01
798,toy_poodle.n.01
799,titi.n.03
800,liger.n.01
801,lapdog.n.01
802,border_collie.n.01
803,striped_muishond.n.01
804,remount.n.01
805,irish_setter.n.01
806,alaskan_brown_bear.n.01
807,brown_bear.n.01
808,glutton.n.02
809,desmodus_rotundus.n.01
810,flickertail.n.01
811,sable_antelope.n.01
812,proconsul.n.03
813,harbor_porpoise.n.01
814,brown_lemming.n.01
815,palomino.n.01
816,norfolk_terrier.n.01
817,false_saber-toothed_tiger.n.01
818,golden_retriever.n.01
819,whitetail_prairie_dog.n.01
820,hackney.n.02
821,pied_lemming.n.01
822,southeastern_pocket_gopher.n.01
823,harp_seal.n.01
824,grizzly.n.01
825,common_dolphin.n.01
826,roan.n.02
827,brewer's_mole.n.01
828,sand_rat.n.01
829,phenacomys.n.01
830,golden_mole.n.01
831,syrian_bear.n.01
832,grison.n.01
833,nail-tailed_wallaby.n.01
834,flying_mouse.n.01
835,flying_phalanger.n.01
836,white_elephant.n.02
837,pony.n.01
838,bear_cub.n.01
839,pygmy_marmoset.n.01
840,two-toed_sloth.n.02
841,italian_greyhound.n.01
842,collared_pika.n.01
843,manchester_terrier.n.01
844,abrocome.n.01
845,jaguarundi.n.01
846,ant_bear.n.01
847,collared_peccary.n.01
848,burmese_cat.n.01
849,hereford.n.01
850,red_bat.n.01
851,mexican_hairless.n.01
852,prosimian.n.01
853,pony.n.02
854,kit_fox.n.02
855,pallid_bat.n.01
856,sperm_whale.n.01
857,cape_buffalo.n.01
858,tasmanian_devil.n.01
859,rottweiler.n.01
860,kit_fox.n.01
861,old_world_least_weasel.n.01
862,hare_wallaby.n.01
863,quagga.n.01
864,musk_deer.n.01
865,starnose_mole.n.01
866,cow.n.02
867,small_civet.n.01
868,welsh_pony.n.01
869,persian_cat.n.01
870,european_lemming.n.01
871,carthorse.n.01
872,black_rat.n.01
873,canada_porcupine.n.01
874,new_world_porcupine.n.01
875,miniature_poodle.n.01
876,tapir.n.01
877,angwantibo.n.01
878,ram.n.05
879,paranthropus.n.01
880,slender-tailed_meerkat.n.01
881,short-tailed_shrew.n.01
882,mapinguari.n.01
883,mylodontid.n.01
884,cro-magnon.n.01
885,seeing_eye_dog.n.01
886,mountain_nyala.n.01
887,entlebucher.n.01
888,big-eared_bat.n.01
889,false_vampire.n.01
890,slow_loris.n.01
891,kangaroo_mouse.n.01
892,mouser.n.01
893,bitch.n.04
894,collie.n.01
895,water_vole.n.02
896,groenendael.n.01
897,shih-tzu.n.01
898,brocket.n.01
899,great_pyrenees.n.01
900,horseshoe_bat.n.02
901,exmoor.n.02
902,tigress.n.01
903,exmoor.n.01
904,boxer.n.04
905,mastiff_bat.n.01
906,pole_horse.n.02
907,black_fox.n.01
908,zoril.n.01
909,ox.n.01
910,eastern_dasyure.n.01
911,pere_david's_deer.n.01
912,little_brown_bat.n.01
913,typical_jerboa.n.01
914,miniature_pinscher.n.01
915,peludo.n.01
916,rice_rat.n.01
917,mountain_chinchilla.n.01
918,harbor_seal.n.01
919,golden_hamster.n.01
920,coypu.n.01
921,muskrat.n.02
922,deer_mouse.n.01
923,palfrey.n.01
924,american_water_shrew.n.01
925,kaffir_cat.n.01
926,bushbuck.n.01
927,assault.n.03
928,beaver_rat.n.01
929,ice_bear.n.01
930,fanaloka.n.01
931,european_wildcat.n.01
932,echidna.n.01
933,rabbit-eared_bandicoot.n.01
934,bandicoot.n.01
935,giant_panda.n.01
936,packrat.n.02
937,big_brown_bat.n.01
938,pichiciago.n.01
939,takin.n.01
940,rock_hyrax.n.01
941,hyrax.n.01
942,dingo.n.01
943,humpback.n.03
944,white_whale.n.01
945,bactrian_camel.n.01
946,vaquita.n.01
947,meadow_vole.n.01
948,eastern_grey_squirrel.n.01
949,asiatic_shrew_mole.n.01
950,harvest_mouse.n.02
951,griffon.n.02
952,large_civet.n.01
953,chow.n.03
954,saiga.n.01
955,mesohippus.n.01
956,southern_flying_squirrel.n.01
957,ferret_badger.n.01
958,dugong.n.01
959,mole_rat.n.02
960,european_rabbit.n.01
961,brabancon_griffon.n.01
962,sand_cat.n.01
963,napu.n.01
964,toy_manchester.n.01
965,mountain_zebra.n.01
966,swamp_rabbit.n.02
967,mara.n.02
968,grey_lemming.n.01
969,bruin.n.01
970,slender_loris.n.01
971,briard.n.01
972,manatee.n.01
973,quarter_horse.n.01
974,norwich_terrier.n.01
975,musk_ox.n.01
976,hooded_skunk.n.01
977,broadtail.n.02
978,lerot.n.01
979,wapiti.n.01
980,cave_myotis.n.01
981,capybara.n.01
982,papillon.n.01
983,sewer_rat.n.01
984,tarsius_syrichta.n.01
985,apar.n.01
986,asiatic_black_bear.n.01
987,hudson_bay_collared_lemming.n.01
988,plains_pocket_gopher.n.01
989,elk.n.01
990,porker.n.01
991,billy.n.02
992,packhorse.n.01
993,european_wood_mouse.n.01
994,field_mouse.n.02
995,ground_sloth.n.01
996,porcupine.n.01
997,tiger_cub.n.01
998,hedgehog.n.02
999,dusky-footed_woodrat.n.01
1000,hazel_mouse.n.01
1001,gee-gee.n.01
1002,whirlaway.n.01
1003,stablemate.n.01
1004,white-tailed_jackrabbit.n.01
1005,hispid_pocket_mouse.n.01
1006,drill.n.02
1007,antelope_squirrel.n.01
1008,bonnet_macaque.n.01
1009,silky_anteater.n.01
1010,sivapithecus.n.01
1011,steller's_sea_cow.n.01
1012,northern_flying_squirrel.n.01
1013,blacktail_jackrabbit.n.01
1014,black-and-tan_coonhound.n.01
1015,hippopotamus.n.01
1016,mountain_paca.n.01
1017,mouse-eared_bat.n.01
1018,mare.n.01
1019,stepper.n.03
1020,american_mastodon.n.01
1021,przewalski's_horse.n.01
1022,nude_mouse.n.01
1023,northern_bog_lemming.n.01
1024,douroucouli.n.01
1025,plains_pocket_mouse.n.01
1026,eohippus.n.01
1027,pocketed_bat.n.01
1028,yellow-throated_marten.n.01
1029,american_mink.n.01
1030,mink.n.03
1031,manul.n.01
1032,babirusa.n.01
1033,seattle_slew.n.01
1034,pricket.n.02
1035,santa_gertrudis.n.01
1036,abyssinian.n.01
1037,cotswold.n.01
1038,eurasian_badger.n.01
1039,cavalry_horse.n.01
1040,woolly_rhinoceros.n.01
1041,lion_cub.n.01
1042,grivet.n.01
1043,police_dog.n.01
1044,friesian.n.01
1045,grevy's_zebra.n.01
1046,spearnose_bat.n.01
1047,stag.n.02
1048,buck.n.05
1049,charger.n.01
1050,indian_buffalo.n.01
1051,chinchilla.n.03
1052,woolly_monkey.n.01
1053,malinois.n.01
1054,serotine.n.01
1055,new_world_tapir.n.01
1056,jird.n.01
1057,gerbil.n.01
1058,bullock.n.02
1059,addax.n.01
1060,citation.n.06
1061,chigetai.n.01
1062,onager.n.02
1063,guano_bat.n.01
1064,arabian.n.02
1065,steeplechaser.n.01
1066,ratel.n.01
1067,unguiculata.n.01
1068,brood_bitch.n.01
1069,giant_armadillo.n.01
1070,two-toed_sloth.n.01
1071,world.n.08
1072,crab-eating_dog.n.01
1073,american_red_squirrel.n.01
1074,boskop_man.n.01
1075,stone_marten.n.01
1076,muntjac.n.01
1077,western_pipistrel.n.01
1078,two-year-old_horse.n.01
1079,pteropus_hypomelanus.n.01
1080,warrigal.n.01
1081,affenpinscher.n.01
1082,indian_rhinoceros.n.01
1083,vixen.n.02
1084,dwarf_sperm_whale.n.01
1085,kob.n.01
1086,cynopterus_sphinx.n.01
1087,american_harvest_mouse.n.01
1088,tiglon.n.01
1089,old_world_beaver.n.01
1090,beaver.n.07
1091,stud.n.04
1092,homo_habilis.n.01
1093,cuscus.n.01
1094,hack.n.07
1095,silver_fox.n.01
1096,ocelot.n.01
1097,bouvier_des_flandres.n.01
1098,rudapithecus.n.01
1099,bull.n.11
1100,common_lynx.n.01
1101,malayan_tapir.n.01
1102,columbian_mammoth.n.01
1103,brown_bat.n.01
1104,lesser_rorqual.n.01
1105,vicuna.n.03
1106,european_water_shrew.n.01
1107,mangabey.n.01
1108,spotted_lynx.n.01
1109,algeripithecus_minutus.n.01
1110,mediterranean_water_shrew.n.01
1111,dhole.n.01
1112,silky_pocket_mouse.n.01
1113,pipistrelle.n.01
1114,homo_sapiens_sapiens.n.01
1115,naked_mole_rat.n.01
1116,komondor.n.01
1117,water_vole.n.01
1118,chipmunk.n.01
1119,rabbit_ears.n.02
1120,royal.n.02
1121,sow.n.01
1122,fox_squirrel.n.01
1123,meadow_jumping_mouse.n.01
1124,jumping_mouse.n.01
1125,pine_marten.n.01
1126,queen.n.09
1127,american_shrew_mole.n.01
1128,tailless_tenrec.n.01
