,num_children
right_whale.n.01,
fossorial_mammal.n.01,3.0
california_sea_lion.n.01,
indri.n.01,
tarpan.n.01,
grey.n.07,
tatouay.n.01,
kangaroo_mouse.n.02,
cairn.n.02,
bellwether.n.02,
pronghorn.n.01,
pademelon.n.01,
african_wild_ass.n.01,
saki.n.03,
african_elephant.n.01,
blue_whale.n.01,
anteater.n.02,3.0
jerboa.n.01,2.0
margay.n.01,
field_spaniel.n.01,
vespertilian_bat.n.01,13.0
irish_terrier.n.01,
killer_whale.n.01,
anoa.n.01,
old_world_buffalo.n.01,6.0
lioness.n.01,
lion.n.01,3.0
miniature_schnauzer.n.01,
black-tailed_deer.n.01,
mule_deer.n.01,1.0
pithecanthropus.n.01,
sinanthropus.n.01,
shetland_pony.n.01,
pony.n.05,3.0
water_rat.n.03,1.0
cattalo.n.01,
mole_rat.n.01,
plow_horse.n.01,
milking_shorthorn.n.01,
leopard_cat.n.01,
red-backed_mouse.n.01,
cow_pony.n.01,
farm_horse.n.01,
bassarisk.n.01,
black_squirrel.n.01,
timber_wolf.n.01,
spouter.n.03,
bird_dog.n.01,
green_monkey.n.01,
jennet.n.01,
pangolin.n.01,
peking_man.n.01,
homo_erectus.n.01,2.0
dryopithecine.n.01,1.0
eurasian_otter.n.01,
imperial_mammoth.n.01,
mammoth.n.01,3.0
nyala.n.02,
harnessed_antelope.n.01,2.0
frosted_bat.n.01,
java_man.n.01,
serval.n.01,
polo_pony.n.01,
hartebeest.n.01,
tree_wallaby.n.01,
galloway.n.02,
common_zebra.n.01,
zebra.n.01,3.0
gelding.n.01,
male_horse.n.01,3.0
pteropus_capestratus.n.01,
fruit_bat.n.01,5.0
sei_whale.n.01,
eskimo_dog.n.01,
warthog.n.01,
genet.n.03,
capuchin.n.02,
river_dolphin.n.01,
lucy.n.01,
australopithecus_afarensis.n.01,1.0
cashmere_goat.n.01,
belgian_sheepdog.n.01,2.0
common_opossum.n.01,
opossum.n.02,2.0
canada_lynx.n.01,
eastern_pipistrel.n.01,
jackal.n.01,
greater_swiss_mountain_dog.n.01,
afghan_hound.n.01,
homo_sapiens.n.01,3.0
homo.n.02,13.0
kuvasz.n.01,
pacific_walrus.n.01,
jaculus_jaculus.n.01,
bobcat.n.01,
count_fleet.n.01,
fossa.n.03,
africander.n.01,
norwegian_elkhound.n.01,
cob.n.02,
harness_horse.n.01,2.0
gibbon.n.02,
belgian_hare.n.01,
gaur.n.01,
seizure-alert_dog.n.01,
mountain_gorilla.n.01,
giant_kangaroo.n.01,
wolverine.n.03,
brahman.n.04,1.0
pinche.n.01,
puppy.n.01,
jersey.n.05,
aardwolf.n.01,
tabby.n.01,
kiang.n.01,
tamarau.n.01,
least_shrew.n.01,
woolly_mammoth.n.01,
australopithecus_boisei.n.01,
arctic_ground_squirrel.n.01,
steller_sea_lion.n.01,
tiger_cat.n.02,
bernese_mountain_dog.n.01,
fawn.n.02,
stoat.n.01,
ermine.n.02,1.0
red_poll.n.01,
pariah_dog.n.01,
border_terrier.n.01,
malamute.n.01,
eastern_woodrat.n.01,
indian_mongoose.n.01,
grade.n.09,
water_dog.n.02,
jerboa_kangaroo.n.01,
prancer.n.01,
cinnamon_bear.n.01,
american_water_spaniel.n.01,
rhodesian_ridgeback.n.01,
gib.n.02,
hog-nosed_skunk.n.01,
spider_monkey.n.01,
coydog.n.01,
coyote.n.01,1.0
lesser_kudu.n.01,
serow.n.01,
kelpie.n.02,
fisher.n.02,
marten.n.01,6.0
smiledon_californicus.n.01,
saber-toothed_tiger.n.01,2.0
aperea.n.01,
cavy.n.01,2.0
bandicoot_rat.n.01,
pygmy_sperm_whale.n.01,
sealyham_terrier.n.01,
solo_man.n.01,
homo_soloensis.n.01,1.0
schipperke.n.01,
shrew_mole.n.01,2.0
mole.n.06,6.0
aurochs.n.02,
freetail.n.01,2.0
blacktail_prairie_dog.n.01,
prairie_dog.n.01,2.0
pine_vole.n.01,
argali.n.01,
porpoise.n.01,2.0
ewe.n.03,
brush-tailed_phalanger.n.01,
platypus.n.01,
prototherian.n.01,4.0
woolly_indris.n.01,
rhesus.n.01,
western_big-eared_bat.n.01,
long-eared_bat.n.01,1.0
masked_shrew.n.01,
german_shepherd.n.01,
tamandua.n.01,
feist.n.01,
silverback.n.01,
aoudad.n.01,
guanaco.n.01,
boarhound.n.01,
bronco.n.01,1.0
mustang.n.01,2.0
urial.n.01,
gayal.n.01,
greater_pichiciego.n.01,
white-lipped_peccary.n.01,
galago.n.01,
crabeater_seal.n.01,
anthropoid.n.02,
harrier.n.02,
snowshoe_hare.n.01,
white_wolf.n.01,
saluki.n.01,
hairy-legged_vampire_bat.n.01,
grey_fox.n.01,
mouflon.n.01,
mountain_sheep.n.01,2.0
guernsey.n.02,
bighorn.n.02,
fallow_deer.n.01,
new_world_mouse.n.01,1.0
prairie_vole.n.01,
southern_bog_lemming.n.01,
lemming.n.01,7.0
orange_bat.n.01,
hoary_marmot.n.01,
marmot.n.01,3.0
australian_sea_lion.n.01,
hack.n.08,
flying_fox.n.01,
airedale.n.01,
nilgai.n.01,
ferret.n.02,
polecat.n.02,1.0
sorrel.n.05,
reynard.n.01,
english_foxhound.n.01,
duplicidentata.n.01,
coondog.n.01,
wombat.n.01,
pygmy_mouse.n.01,
west_highland_white_terrier.n.01,
guadalupe_fur_seal.n.01,
hog.n.03,1.0
welsh_springer_spaniel.n.01,
flat-coated_retriever.n.01,
ibizan_hound.n.01,
bettong.n.01,
simian.n.01,
english_setter.n.01,
hognose_bat.n.01,
old_english_sheepdog.n.01,
madagascar_cat.n.01,
basset.n.01,
rhodesian_man.n.01,
barren_ground_caribou.n.01,
german_short-haired_pointer.n.01,
proboscis_monkey.n.01,
pachyderm.n.01,10.0
pembroke.n.01,
narwhal.n.01,
javanthropus.n.01,
panther.n.02,
spotted_hyena.n.01,
three-year-old_horse.n.01,
gomphothere.n.01,
blue_fox.n.01,
arctic_fox.n.01,1.0
yellowbelly_marmot.n.01,
murine.n.01,
steed.n.01,
warhorse.n.03,3.0
springer.n.02,
eastern_cottontail.n.01,
wood_rabbit.n.01,3.0
pug.n.01,
dun.n.01,
zebu.n.01,
marsh_hare.n.01,
giraffe.n.01,1.0
puku.n.01,
pinto.n.01,
chamois.n.02,
cotton_rat.n.01,
australian_terrier.n.01,
black-footed_ferret.n.01,
cougar.n.01,
stallion.n.01,1.0
pacer.n.01,
neandertal_man.n.01,
attack_dog.n.01,
silky_terrier.n.01,
kanchil.n.01,
common_shrew.n.01,
fissiped_mammal.n.01,
dik-dik.n.01,
devon.n.02,
toy_terrier.n.01,
aye-aye.n.01,
fissipedia.n.01,
grampus.n.02,
gnu.n.01,
white_rhinoceros.n.01,
sable.n.05,
pacific_bottlenose_dolphin.n.01,
affirmed.n.01,
aberdeen_angus.n.01,
cheviot.n.01,
jackass_bat.n.01,
common_eland.n.01,
longhorn.n.01,
plott_hound.n.01,
northern_pocket_gopher.n.01,
leonberg.n.01,
pollard.n.02,
dinoceras.n.01,
dinocerate.n.01,1.0
toy_poodle.n.01,
titi.n.03,
liger.n.01,
lapdog.n.01,
border_collie.n.01,
striped_muishond.n.01,
remount.n.01,
irish_setter.n.01,
alaskan_brown_bear.n.01,
brown_bear.n.01,3.0
glutton.n.02,
desmodus_rotundus.n.01,
flickertail.n.01,
sable_antelope.n.01,
proconsul.n.03,
harbor_porpoise.n.01,
brown_lemming.n.01,
palomino.n.01,
norfolk_terrier.n.01,
false_saber-toothed_tiger.n.01,
golden_retriever.n.01,
whitetail_prairie_dog.n.01,
hackney.n.02,
pied_lemming.n.01,1.0
southeastern_pocket_gopher.n.01,
harp_seal.n.01,
grizzly.n.01,
common_dolphin.n.01,
roan.n.02,
brewer's_mole.n.01,
sand_rat.n.01,
phenacomys.n.01,
golden_mole.n.01,
syrian_bear.n.01,
grison.n.01,
nail-tailed_wallaby.n.01,
flying_mouse.n.01,
flying_phalanger.n.01,1.0
white_elephant.n.02,
pony.n.01,4.0
bear_cub.n.01,
pygmy_marmoset.n.01,
two-toed_sloth.n.02,
italian_greyhound.n.01,
collared_pika.n.01,
manchester_terrier.n.01,1.0
abrocome.n.01,
jaguarundi.n.01,
ant_bear.n.01,
collared_peccary.n.01,
burmese_cat.n.01,
hereford.n.01,
red_bat.n.01,
mexican_hairless.n.01,
prosimian.n.01,
pony.n.02,
kit_fox.n.02,
pallid_bat.n.01,
sperm_whale.n.01,
cape_buffalo.n.01,
tasmanian_devil.n.01,
rottweiler.n.01,
kit_fox.n.01,
old_world_least_weasel.n.01,
hare_wallaby.n.01,
quagga.n.01,
musk_deer.n.01,
starnose_mole.n.01,
cow.n.02,
small_civet.n.01,
welsh_pony.n.01,
persian_cat.n.01,
european_lemming.n.01,
carthorse.n.01,
black_rat.n.01,
canada_porcupine.n.01,
new_world_porcupine.n.01,1.0
miniature_poodle.n.01,
tapir.n.01,2.0
angwantibo.n.01,
ram.n.05,
paranthropus.n.01,
slender-tailed_meerkat.n.01,
short-tailed_shrew.n.01,
mapinguari.n.01,
mylodontid.n.01,1.0
cro-magnon.n.01,
seeing_eye_dog.n.01,
mountain_nyala.n.01,
entlebucher.n.01,
big-eared_bat.n.01,
false_vampire.n.01,1.0
slow_loris.n.01,
kangaroo_mouse.n.01,
mouser.n.01,
bitch.n.04,1.0
collie.n.01,
water_vole.n.02,
groenendael.n.01,
shih-tzu.n.01,
brocket.n.01,
great_pyrenees.n.01,
horseshoe_bat.n.02,
exmoor.n.02,
tigress.n.01,
exmoor.n.01,
boxer.n.04,
mastiff_bat.n.01,
pole_horse.n.02,
black_fox.n.01,
zoril.n.01,
ox.n.01,
eastern_dasyure.n.01,
pere_david's_deer.n.01,
little_brown_bat.n.01,
typical_jerboa.n.01,
miniature_pinscher.n.01,
peludo.n.01,
rice_rat.n.01,
mountain_chinchilla.n.01,
harbor_seal.n.01,
golden_hamster.n.01,
coypu.n.01,
muskrat.n.02,
deer_mouse.n.01,
palfrey.n.01,
american_water_shrew.n.01,
kaffir_cat.n.01,
bushbuck.n.01,
assault.n.03,
beaver_rat.n.01,
ice_bear.n.01,
fanaloka.n.01,
european_wildcat.n.01,
echidna.n.01,
rabbit-eared_bandicoot.n.01,
bandicoot.n.01,1.0
giant_panda.n.01,
packrat.n.02,1.0
big_brown_bat.n.01,
pichiciago.n.01,
takin.n.01,
rock_hyrax.n.01,
hyrax.n.01,1.0
dingo.n.01,
humpback.n.03,
white_whale.n.01,
bactrian_camel.n.01,
vaquita.n.01,
meadow_vole.n.01,
eastern_grey_squirrel.n.01,
asiatic_shrew_mole.n.01,
harvest_mouse.n.02,
griffon.n.02,1.0
large_civet.n.01,
chow.n.03,
saiga.n.01,
mesohippus.n.01,
southern_flying_squirrel.n.01,
ferret_badger.n.01,
dugong.n.01,
mole_rat.n.02,
european_rabbit.n.01,
brabancon_griffon.n.01,
sand_cat.n.01,
napu.n.01,
toy_manchester.n.01,
mountain_zebra.n.01,
swamp_rabbit.n.02,
mara.n.02,
grey_lemming.n.01,
bruin.n.01,
slender_loris.n.01,
briard.n.01,
manatee.n.01,
quarter_horse.n.01,
norwich_terrier.n.01,
musk_ox.n.01,
hooded_skunk.n.01,
broadtail.n.02,
lerot.n.01,
wapiti.n.01,
cave_myotis.n.01,
capybara.n.01,
papillon.n.01,
sewer_rat.n.01,
tarsius_syrichta.n.01,
apar.n.01,
asiatic_black_bear.n.01,
hudson_bay_collared_lemming.n.01,
plains_pocket_gopher.n.01,
elk.n.01,
porker.n.01,
billy.n.02,
packhorse.n.01,
european_wood_mouse.n.01,
field_mouse.n.02,1.0
ground_sloth.n.01,
porcupine.n.01,5.0
tiger_cub.n.01,
hedgehog.n.02,
dusky-footed_woodrat.n.01,
hazel_mouse.n.01,
gee-gee.n.01,
whirlaway.n.01,
stablemate.n.01,
white-tailed_jackrabbit.n.01,
hispid_pocket_mouse.n.01,
drill.n.02,
antelope_squirrel.n.01,
bonnet_macaque.n.01,
silky_anteater.n.01,
sivapithecus.n.01,
steller's_sea_cow.n.01,
northern_flying_squirrel.n.01,
blacktail_jackrabbit.n.01,
black-and-tan_coonhound.n.01,
hippopotamus.n.01,
mountain_paca.n.01,
mouse-eared_bat.n.01,
mare.n.01,1.0
stepper.n.03,
american_mastodon.n.01,
przewalski's_horse.n.01,
nude_mouse.n.01,
northern_bog_lemming.n.01,
douroucouli.n.01,
plains_pocket_mouse.n.01,
eohippus.n.01,
pocketed_bat.n.01,
yellow-throated_marten.n.01,
american_mink.n.01,
mink.n.03,1.0
manul.n.01,
babirusa.n.01,
seattle_slew.n.01,
pricket.n.02,
santa_gertrudis.n.01,
abyssinian.n.01,
cotswold.n.01,
eurasian_badger.n.01,
cavalry_horse.n.01,
woolly_rhinoceros.n.01,
lion_cub.n.01,
grivet.n.01,
police_dog.n.01,
friesian.n.01,
grevy's_zebra.n.01,
spearnose_bat.n.01,
stag.n.02,1.0
buck.n.05,2.0
charger.n.01,
indian_buffalo.n.01,
chinchilla.n.03,
woolly_monkey.n.01,
malinois.n.01,
serotine.n.01,
new_world_tapir.n.01,
jird.n.01,
gerbil.n.01,3.0
bullock.n.02,
addax.n.01,
citation.n.06,
chigetai.n.01,
onager.n.02,1.0
guano_bat.n.01,
arabian.n.02,
steeplechaser.n.01,
ratel.n.01,
unguiculata.n.01,
brood_bitch.n.01,
giant_armadillo.n.01,
two-toed_sloth.n.01,
world.n.08,
crab-eating_dog.n.01,
american_red_squirrel.n.01,
boskop_man.n.01,
stone_marten.n.01,
muntjac.n.01,
western_pipistrel.n.01,
two-year-old_horse.n.01,
pteropus_hypomelanus.n.01,
warrigal.n.01,
affenpinscher.n.01,
indian_rhinoceros.n.01,
vixen.n.02,
dwarf_sperm_whale.n.01,
kob.n.01,
cynopterus_sphinx.n.01,
american_harvest_mouse.n.01,
tiglon.n.01,
old_world_beaver.n.01,
beaver.n.07,2.0
stud.n.04,
homo_habilis.n.01,
cuscus.n.01,
hack.n.07,
silver_fox.n.01,
ocelot.n.01,
bouvier_des_flandres.n.01,
rudapithecus.n.01,
bull.n.11,
common_lynx.n.01,
malayan_tapir.n.01,
columbian_mammoth.n.01,
brown_bat.n.01,
lesser_rorqual.n.01,
vicuna.n.03,
european_water_shrew.n.01,
mangabey.n.01,
spotted_lynx.n.01,
algeripithecus_minutus.n.01,
mediterranean_water_shrew.n.01,
dhole.n.01,
silky_pocket_mouse.n.01,
pipistrelle.n.01,
homo_sapiens_sapiens.n.01,
naked_mole_rat.n.01,1.0
komondor.n.01,
water_vole.n.01,
chipmunk.n.01,
rabbit_ears.n.02,
royal.n.02,
sow.n.01,
fox_squirrel.n.01,
meadow_jumping_mouse.n.01,
jumping_mouse.n.01,1.0
pine_marten.n.01,
queen.n.09,
american_shrew_mole.n.01,
tailless_tenrec.n.01,
sand_rat.n.02,
chihuahua.n.03,
old_world_porcupine.n.01,2.0
common_wallaby.n.01,
okapi.n.01,
cheetah.n.01,
leveret.n.01,
angora.n.04,
harpy.n.03,
snow_leopard.n.01,
alley_cat.n.01,
tree_shrew.n.01,1.0
boar.n.02,
livestock.n.01,
lionet.n.01,
newfoundland.n.01,
bucking_bronco.n.01,
round-tailed_muskrat.n.01,
uakari.n.01,
guinea_pig.n.02,
striped_hyena.n.01,
wharf_rat.n.02,
lapin.n.02,
ungulata.n.01,
groundhog.n.01,
long-tailed_porcupine.n.01,
domestic_llama.n.01,
polar_hare.n.01,
crab-eating_opossum.n.01,
digitigrade_mammal.n.01,
pentail.n.01,
paca.n.01,
suricate.n.01,
sir_barton.n.01,
cayuse.n.01,
